fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
9.37,0.739,0.255,0.97,0.078,44,88,0.99626,3.11,0.58,8.4,4
8.34,0.433,0.16,1.77,0.121,34,41,0.99823,3.17,0.96,10.3,5
7.06,0.44,0.77,2.25,0.066,18,26,0.99589,3.54,0.98,11.35,7
9.82,0.758,0.303,1.79,0.038,39,48,0.99591,3.34,0.52,9.47,4
9.42,0.61,0.219,2.37,0.065,30,40,0.99599,3.37,0.59,8.4,4
6.62,0.313,0.44,2.34,0.07,14,48,0.9969,3.37,0.89,8.4,5
7.71,0.689,0.346,2.64,0.097,9,28,0.99603,3.35,0.92,10.17,5
6.48,0.64,0.464,1.87,0.04,5,43,0.99611,3.24,0.93,11.46,6
6.18,0.789,0.444,2.27,0.064,15,25,0.99695,3.48,0.46,11.1,6
11.14,0.336,0.306,2.7,0.115,24,53,0.99778,3.19,0.62,10.65,5
7.74,0.602,0.658,1.9,0.077,42,55,0.99545,3.29,0.44,11.94,6
9.37,0.462,0.193,1.76,0.048,29,61,0.99648,3.47,0.43,10.19,4
8.82,0.639,0.233,2.26,0.131,17,34,0.99749,3.2,0.66,9.86,4
8.4,0.385,0.0,3.31,0.044,20,36,0.99615,3.46,0.41,10.21,5
6.63,0.454,0.003,2.14,0.041,14,51,0.99583,3.4,0.65,11.03,6
6.68,0.543,0.521,3.91,0.072,16,49,0.99717,3.49,0.48,9.81,5
9.01,0.604,0.18,4.84,0.031,13,31,0.99735,3.16,0.68,10.14,5
10.11,0.489,0.583,2.13,0.053,11,25,0.99638,3.49,0.68,9.27,5
5.36,0.834,0.33,2.95,0.12,26,73,0.99777,3.52,0.69,9.07,5
6.8,0.437,0.0,1.93,0.076,16,78,0.99651,3.38,0.79,9.11,6
7.98,0.544,0.534,1.42,0.048,32,81,0.9957,3.11,0.8,10.72,6
9.97,0.684,0.122,1.22,0.115,7,15,0.99574,3.32,0.4,9.16,5
9.16,0.551,0.211,1.42,0.093,20,40,0.9955,3.19,0.6,12.05,6
9.6,0.52,0.0,2.49,0.09,16,39,0.99642,3.08,0.78,8.4,5
8.69,0.275,0.069,4.84,0.079,6,67,0.99747,3.39,0.33,11.75,6
6.78,0.75,0.0,1.35,0.047,11,16,0.99696,3.43,0.95,10.91,4
8.08,0.267,0.298,5.34,0.117,8,18,0.99715,3.37,0.38,9.84,5
10.33,0.595,0.413,2.92,0.096,18,64,0.99715,3.46,0.59,11.1,6
8.58,0.4,0.354,1.75,0.078,23,65,0.9965,3.34,0.53,11.27,6
6.34,0.294,0.46,1.07,0.097,38,49,0.99508,3.34,0.58,9.93,5
10.56,0.509,0.445,2.12,0.147,9,31,0.99628,3.27,0.52,10.63,5
9.03,0.456,0.549,2.02,0.1,26,34,0.99402,3.09,0.97,9.05,5
9.47,0.432,0.459,2.01,0.05,24,90,0.99677,3.2,0.66,9.35,5
11.45,0.551,0.465,1.76,0.05,14,33,0.99694,3.25,0.45,9.33,5
7.42,0.383,0.215,1.5,0.112,35,82,0.99491,3.41,0.51,10.65,7
7.21,0.452,0.267,3.58,0.076,26,67,0.99666,3.26,0.62,9.62,5
4.6,0.665,0.0,2.76,0.092,30,107,0.99498,3.34,0.72,9.77,5
8.54,0.747,0.166,1.43,0.073,8,25,0.99562,3.12,0.87,8.85,5
9.27,0.388,0.108,3.65,0.076,11,54,0.99685,3.16,0.71,10.94,7
8.26,0.606,0.508,3.88,0.142,7,67,0.99611,3.34,0.67,10.9,6
8.32,0.596,0.383,1.46,0.072,25,30,0.99639,3.39,0.62,10.22,5
9.8,0.437,0.312,1.76,0.134,10,69,0.99835,3.21,0.96,12.39,7
8.97,0.644,0.0,1.44,0.12,19,52,0.995,3.42,0.71,9.09,4
8.96,0.722,0.595,3.3,0.1,28,71,0.99652,3.04,0.7,10.19,4
8.19,0.792,0.479,2.62,0.095,8,29,0.99858,3.44,0.8,9.49,5
8.23,0.958,0.31,3.47,0.106,5,62,0.99716,3.24,0.69,9.6,4
9.97,0.444,0.349,1.15,0.096,18,41,0.99786,3.32,0.93,8.82,5
8.15,0.659,0.604,1.29,0.075,26,41,0.998,3.31,0.54,8.4,4
7.63,0.175,0.241,0.9,0.057,10,22,0.99628,3.27,0.85,11.6,6
7.42,0.781,0.21,1.81,0.153,3,19,0.99554,3.34,0.71,10.36,4
8.11,0.49,0.295,1.17,0.084,19,72,0.99448,3.47,0.57,10.67,5
8.6,0.357,0.32,1.25,0.187,14,81,0.99613,3.14,0.88,10.11,5
9.12,0.52,0.155,1.74,0.07,11,35,0.99637,3.27,0.7,9.96,5
8.51,0.588,0.37,1.67,0.097,16,35,0.99799,3.3,0.55,10.35,5
7.77,0.465,0.91,2.19,0.051,14,41,0.99625,3.13,0.66,10.09,5
5.69,0.711,0.0,1.39,0.052,45,73,0.99671,3.52,0.45,10.35,5
9.29,0.314,0.197,2.87,0.091,26,28,0.99655,3.48,0.74,12.26,6
6.71,0.278,0.275,1.85,0.033,6,25,0.99731,3.42,0.68,10.41,6
8.04,0.241,0.277,1.45,0.077,13,15,0.99521,3.3,0.55,11.48,5
10.21,0.583,0.296,2.26,0.086,10,61,0.99607,3.41,0.68,8.4,5
8.7,0.603,0.366,3.22,0.101,29,62,0.99628,3.32,0.76,10.99,6
7.0,0.7,0.038,4.5,0.052,16,52,0.99682,3.25,0.83,8.4,4
9.43,0.924,0.209,2.28,0.066,10,69,0.99823,3.15,0.55,10.56,5
7.87,0.765,0.256,3.1,0.064,29,51,0.99717,3.28,0.49,9.93,5
7.53,0.575,0.023,2.51,0.119,15,34,0.9968,3.1,0.68,9.61,5
10.29,0.633,0.333,5.69,0.087,11,82,0.99876,3.41,0.46,11.01,5
9.38,0.694,0.244,2.14,0.079,8,27,0.99701,3.33,0.56,11.48,7
13.4,0.326,0.518,1.45,0.052,13,34,0.99609,3.13,0.76,10.2,6
6.57,0.617,0.06,2.09,0.057,1,31,0.99707,3.45,0.73,9.71,5
8.32,0.557,0.076,1.25,0.093,22,33,0.99536,3.3,0.51,8.64,4
